probe,coef_verify,significant,null
ENSG00000122966,-0.5777383346427636,Yes,FALSE
ENSG00000174437,0.2185428124174235,Yes,FALSE
ENSG00000094804,0.5563811312862063,Yes,FALSE
ENSG00000108771,-0.376152742572787,Yes,FALSE
ENSG00000161955,-0.4732628151852771,Yes,FALSE
ENSG00000100201,-0.20802636370728947,Yes,FALSE
ENSG00000090238,-0.38288127074021,Yes,FALSE
ENSG00000123843,-1.284399049949537,Yes,FALSE
ENSG00000110906,0.17056786883671715,Yes,FALSE
ENSG00000242574,-0.3972295584494528,Yes,FALSE
ENSG00000016391,-0.698859541931852,Yes,FALSE
ENSG00000107581,0.14287701782483433,Yes,FALSE
ENSG00000126261,0.24236494949617654,Yes,FALSE
ENSG00000213741,0.27436040823702473,Yes,FALSE
ENSG00000146063,-0.23127869772077222,Yes,FALSE
ENSG00000155380,0.7171574243125787,Yes,FALSE
ENSG00000065328,0.571579129072051,Yes,FALSE
ENSG00000134333,0.30676298868140806,Yes,FALSE
ENSG00000087053,0.2429674764041274,Yes,FALSE
ENSG00000178467,-0.3567159078104771,Yes,FALSE
ENSG00000184220,0.3592489290479175,Yes,FALSE
ENSG00000023608,0.4132426755407949,Yes,FALSE
ENSG00000131016,0.5912287304061218,Yes,FALSE
ENSG00000226137,-0.4810952301739532,Yes,FALSE
ENSG00000065613,0.22485752689713379,Yes,FALSE
ENSG00000183914,-0.9346840410212627,Yes,FALSE
ENSG00000073331,-0.2724464259466443,Yes,FALSE
ENSG00000152926,-0.6281605905799925,Yes,FALSE
ENSG00000169302,-0.9392185883768155,Yes,FALSE
ENSG00000167363,-0.46314656288649225,Yes,FALSE
ENSG00000235109,-0.545448421942145,Yes,FALSE
ENSG00000128595,0.29874873419646775,Yes,FALSE
ENSG00000204252,-0.49108497388150213,Yes,FALSE
ENSG00000111229,0.17703954081909987,Yes,FALSE
ENSG00000183323,-0.2896234297018536,Yes,FALSE
ENSG00000121864,0.3348718670815626,Yes,FALSE
ENSG00000148572,0.1872824376664885,Yes,FALSE
ENSG00000227066,-1.6242882511439856,Yes,FALSE
ENSG00000139624,0.15970380904389633,Yes,FALSE
ENSG00000134001,0.2182427144936413,Yes,FALSE
ENSG00000006634,0.3465022396581962,Yes,FALSE
ENSG00000162613,-0.16335005525372312,Yes,FALSE
ENSG00000160796,-0.4059006070983394,Yes,FALSE
ENSG00000113504,-0.4184557560844376,Yes,FALSE
ENSG00000135241,0.17569461240342235,Yes,FALSE
ENSG00000120800,0.26585409925060904,Yes,FALSE
ENSG00000160602,-0.3032582277511826,Yes,FALSE
ENSG00000259803,-1.187610456210085,Yes,FALSE
ENSG00000087157,-0.24034802761684967,Yes,FALSE
ENSG00000137563,0.5799793956066204,Yes,FALSE
ENSG00000136982,0.45041551287670656,Yes,FALSE
ENSG00000138829,1.259224407896941,Yes,FALSE
ENSG00000111726,0.2560348692328124,Yes,FALSE
ENSG00000160180,-1.3837123479419529,Yes,FALSE
ENSG00000125966,-0.7584064856708934,Yes,FALSE
ENSG00000059769,0.2487564935817557,Yes,FALSE
ENSG00000245571,-0.2837354204050092,Yes,FALSE
